cid,name,standard_dg_prime,p_h,ionic_strength,p_mg,temperature,decompose,reference,remark,Smiles
metanetx.chemical:MNXM3633,L-Iditol,-374.3,7.0,0.25,14.0,298.15,1,Alberty (2006),,[H]OC([H])([H])[C@]([H])(O[H])[C@@]([H])(O[H])[C@]([H])(O[H])[C@@]([H])(O[H])C([H])([H])O[H]
metanetx.chemical:MNXM762,Thiocyanate,91.8,7.0,0.25,14.0,298.15,0,Wagman (1982),,[H]SC#N
metanetx.chemical:MNXM3085,Propan-2-ol,140.7,7.0,0.25,14.0,298.15,1,Alberty (2006),,[H]OC([H])(C([H])([H])[H])C([H])([H])[H]
metanetx.chemical:MNXM4002,Glycylglycine,-194.6,7.0,0.25,14.0,298.15,1,Alberty (2006),,[H]OC(=O)C([H])([H])N([H])C(=O)C([H])([H])N([H])[H]
metanetx.chemical:MNXM2356,2-Methylmaleate,-441.0,7.0,0.25,14.0,298.15,1,Alberty (2006),,[H]OC(=O)/C([H])=C(\C(=O)O[H])C([H])([H])[H]
metanetx.chemical:MNXM3262,Dichloromethane,15.4,7.0,0.25,14.0,298.15,0,Dolfing (1994),,[H]C([H])(Cl)Cl
metanetx.chemical:MNXM3458,2-Chlorobenzoate,-75.7,7.0,0.25,14.0,298.15,1,Dolfing (1992),,[H]OC(=O)c1c([H])c([H])c([H])c([H])c1Cl
metanetx.chemical:MNXM5462,2-Fluorobenzoate,-236.5,7.0,0.25,14.0,298.15,1,Dolfing (1992),,[H]OC(=O)c1c([H])c([H])c([H])c([H])c1F
metanetx.chemical:MNXM6797,3-Fluorobenzoate,-231.0,7.0,0.25,14.0,298.15,1,Dolfing (1992),,[H]OC(=O)c1c([H])c([H])c([H])c(F)c1[H]
metanetx.chemical:MNXM1459,4-Chlorobenzoate,-77.3,7.0,0.25,14.0,298.15,1,Dolfing (1992),,[H]OC(=O)c1c([H])c([H])c(Cl)c([H])c1[H]
metanetx.chemical:MNXM6107,4-Fluorobenzoate,-226.0,7.0,0.25,14.0,298.15,1,Dolfing (1992),,[H]OC(=O)c1c([H])c([H])c(F)c([H])c1[H]
metanetx.chemical:MNXM1421,(R)-2-Methylmalate,-602.7,7.0,0.25,14.0,298.15,1,Alberty (2006),,[H]OC(=O)C([H])([H])[C@@](O[H])(C(=O)O[H])C([H])([H])[H]
metanetx.chemical:MNXM90068,(S)-2-Hydroxyglutarate,-599.0,7.0,0.25,14.0,298.15,1,Alberty (2006),,[H]OC(=O)C([H])([H])C([H])([H])[C@]([H])(O[H])C(=O)O[H]
metanetx.chemical:MNXM541,3-Phosphonooxypyruvate,-1374.5,7.0,0.25,14.0,298.15,1,Alberty (2006),,[H]OC(=O)C(=O)C([H])([H])OP(=O)(O[H])O[H]
metanetx.chemical:MNXM3005,"D-Galactono-1,4-lactone",-497.9,7.0,0.25,14.0,298.15,1,Alberty (2006),,[H]OC([H])([H])[C@@]([H])(O[H])[C@]1([H])OC(=O)[C@]([H])(O[H])[C@@]1([H])O[H]
metanetx.chemical:MNXM336,D-Galactose 1-phosphate,-1311.8,7.0,0.25,14.0,298.15,1,Alberty (2006),,[H]OC([H])([H])[C@@]1([H])O[C@]([H])(OP(=O)(O[H])O[H])[C@]([H])(O[H])[C@@]([H])(O[H])[C@@]1([H])O[H]
metanetx.chemical:MNXM1428,Hydrazine,290.9,7.0,0.25,14.0,298.15,0,Thauer (1977),,[H]N([H])N([H])[H]
